@relation train1.5.txt

@attribute Area numeric
@attribute Perim. numeric
@attribute Major numeric
@attribute Minor numeric
@attribute Angle numeric
@attribute target {rods,puntcua,networks}

@data
28.7,26.2,9.38,3.9,85.4,puntcua
28.7,26.9,6.62,5.53,121,puntcua
35.5,40.1,8.9,5.08,57.7,rods
33.8,32.8,10.5,4.11,113,rods
25.4,25.1,11.1,2.91,165,puntcua
40.6,29.9,12.6,4.11,152,rods
33.8,32.8,9.93,4.33,69.2,rods
28.7,20.7,7.85,4.66,52.1,puntcua
38.9,29.1,11.4,4.36,8.69,rods
38.9,28.3,12.1,4.09,48.1,rods
32.1,30.9,10.2,4,148,rods
30.4,24.3,8.8,4.4,83,puntcua
32.1,22.5,7.74,5.28,80.2,puntcua
25.4,25.1,10.2,3.17,22.6,puntcua
38.9,26.2,9.56,5.18,27,rods
32.1,26.2,9.58,4.27,67.6,puntcua
32.1,24.3,10.1,4.06,16.2,puntcua
32.1,46.1,9.34,4.38,18.1,rods
37.2,32.8,11.2,4.23,22.9,rods
30.4,27.3,7.51,5.16,136,puntcua
38.9,35.4,13.1,3.79,109,rods
27,27.3,7.82,4.4,29,puntcua
30.4,30.9,10.1,3.83,41,rods
32.1,30.9,11.5,3.54,98.6,rods
32.1,19.9,7.96,5.14,163,puntcua
27,21,8.73,3.95,34.6,puntcua
28.7,25.7,7.5,4.88,30.2,puntcua
25.4,19.1,7.49,4.31,168,puntcua
33.8,26.2,9.44,4.56,66.7,puntcua
40.6,28,11.5,4.5,66.4,rods
30.4,29.1,9.11,4.25,14.7,rods
35.5,25.1,10.4,4.34,9.18,rods
33.8,22.5,9.31,4.62,10.1,puntcua
37.2,35.1,13.9,3.42,19.8,rods
37.2,34.3,8.79,5.38,45.5,rods
25.4,21,7.86,4.1,29.1,puntcua
32.1,31.7,9.7,4.21,135,rods
32.1,26.5,12,3.39,35.4,puntcua
38.9,54.2,14.5,3.42,154,rods
25.4,21,7.43,4.34,15.3,puntcua
27,25.4,9.5,3.63,21,puntcua
35.5,29.5,11.2,4.02,68,rods
27,28,9.84,3.5,96.6,puntcua
30.4,23.6,10.9,3.56,121,puntcua
32.1,24.3,9.96,4.11,172,puntcua
40.6,36.1,14,3.68,134,rods
30.4,32.5,11.2,3.46,160,rods
25.4,20.7,8.35,3.87,973,puntcua
28.7,22.8,8.08,4.53,164,puntcua
30.4,22.8,8.08,4.8,169,puntcua
28.7,27.3,10.6,3.45,45.5,puntcua
28.7,25.1,7.47,4.9,22.9,puntcua
82.8,82.2,26.9,3.92,94.9,rods
50.7,52.1,15.3,4.23,18.8,rods
49,38,11.8,5.27,61.9,rods
60.8,51.9,15.3,5.06,166,rods
43.9,46.1,14.2,3.94,173,rods
71,65.2,20.4,4.44,129,rods
47.3,36.1,12.8,4.71,30.6,rods
54.1,60.5,17,4.06,98.4,rods
64.2,55,16.1,5.08,165,rods
157,121,22.3,8.97,165,networks
54.1,39.1,12.7,5.44,150,rods
64.2,74.1,13.5,6.07,95.5,rods
74.4,81.8,19.5,4.87,146,rods
67.6,89.9,17.7,4.85,166,rods
57.5,50.5,16.3,4.48,4.6,rods
54.1,51.6,16.4,4.19,174,rods
62.5,56.4,17,4.7,138,rods
89.6,71.8,20.9,5.47,126,rods
87.9,96.2,15.2,7.38,157,rods
52.4,50.5,14.4,4.63,96.9,rods
117,93.7,14.1,10.5,16.8,networks
127,119,16.7,9.64,136,networks
49,59,13.3,4.69,27.8,rods
118,113,26.3,5.72,64.7,networks
89.6,69.7,21.9,5.2,155,rods
60.8,55.3,13.5,5.73,66,rods
145,128,21.7,8.55,4.19,networks
43.9,44.9,12.6,4.46,126,rods
99.7,79.6,26,4.89,41.3,rods
42.3,44.3,13.6,3.94,14.2,rods
50.7,40.9,12.8,5.03,14.2,rods
72.7,69.5,11.2,8.23,6.92,rods
106,110,15.6,8.68,95.8,rods
47.3,49,9.9,6.09,169,rods
52.4,60.8,11.9,5.62,22.5,rods
64.2,59,17.9,4.57,149,rods
99.7,74.9,21.8,5.83,92.5,rods
50.7,51.6,16.1,4,1.26,rods
105,85.6,21.9,6.1,89.9,rods
67.6,47.3,20.6,4.17,1.79,rods
50.7,50.8,14.5,4.44,18.5,rods
62.5,53.8,18,4.42,14.9,rods
74.4,55.6,18.7,5.08,47.6,rods
50.7,27.3,10.9,5.92,137,rods
76.1,68.9,14.3,6.75,148,rods
43.9,35.7,12.5,4.47,35.9,rods
74.4,60,18,5.25,69.9,rods
55.8,59,9.4,7.56,91.6,rods
161,121,40.8,5.01,165,networks
47.3,46.7,15.8,3.8,51,rods
54.1,42.4,14.8,4.67,148,rods
86.2,68.6,24.8,4.42,170,rods
106,94.8,22.5,6.03,162,rods
50.7,53.4,12.9,5.02,149,rods
42.3,28,8.58,6.27,174,rods
162,112,35.4,5.83,136,networks
162,114,38.2,5.41,144,networks
74.4,62.3,16.4,5.78,168,rods
49,50.5,13,4.79,62.9,rods
117,94.5,15.6,9.52,172,networks
101,74.1,26.4,4.88,125,rods
93,76.3,21.3,5.57,63.7,rods
50.7,48.2,12.7,5.07,7.97,rods
50.7,30.6,12.2,5.3,15.6,rods
60.8,50.8,17.7,4.37,171,rods
60.8,45.3,15.1,5.14,26.4,rods
112,78.1,29,4.9,55.3,rods
117,115,22,6.75,131,networks
59.2,44.6,11,6.87,49.3,rods
81.1,67.8,23,4.49,92.8,rods
77.7,62.6,18.7,5.3,51,rods
77.7,48.2,15.5,6.39,122,rods
132,106,23.5,7.14,17.3,networks
47.3,39.5,13.9,4.33,99.7,rods
122,103,24.8,6.25,59.6,networks
52.4,42.7,14.4,4.62,75,rods
52.4,33.9,11.3,5.88,156,rods
54.1,56,15.4,4.47,113,rods
59.2,47.2,17.1,4.41,135,rods
50.7,53.8,13.6,4.76,144,rods
45.6,36.5,12.6,4.61,156,rods
69.3,56.4,15.4,5.73,139,rods
52.4,45.6,12.2,5.49,67.5,rods
128,110,18.8,8.71,48.3,networks
112,113,23.8,5.98,133,rods
113,75.8,29.4,4.91,131,rods
45.6,67.1,16.9,3.43,145,rods
79.4,66.3,21.1,4.78,125,rods
43.9,40.1,16.2,3.45,132,rods
49,40.3,12.3,5.06,5.38,rods
62.5,56.4,16,4.96,151,rods
65.9,50.8,20,4.19,53.4,rods
74.4,57.9,14.8,6.42,112,rods
42.3,45.8,11.1,4.85,115,rods
77.7,51.6,18.8,5.27,120,rods
47.3,41.2,9.01,6.69,141,rods
45.6,60.4,10.5,5.55,149,rods
59.2,56,14.2,5.31,93,rods
86.2,54.5,14.8,7.42,28.3,rods
94.6,92.8,16.6,7.28,135,rods
74.4,47.2,18.1,5.22,132,rods
49,43.5,15.5,4.03,144,rods
55.8,42.7,10.7,6.65,33.7,rods
76.1,57.9,14.8,6.54,131,rods
43.9,42,13.7,4.07,18.7,rods
82.8,74.9,15.2,6.94,11,rods
67.6,50.5,12,7.19,75.8,rods
74.4,71.8,16,5.9,84.7,rods
42.3,43.5,13.9,3.86,173,rods
106,81.2,29.5,4.6,171,rods
162,131,20.8,9.94,117,networks
65.9,49.8,17.5,4.8,28,rods
52.4,52.7,10.1,6.62,145,rods
42.3,45.3,10.6,5.09,74.7,rods
42.3,39.1,10.4,5.16,73.7,rods
43.9,31.7,10.2,5.51,4.68,rods
127,111,37.1,4.36,113,networks
49,40.6,9.28,6.72,173,rods
140,90.3,28.4,6.28,38.4,networks
45.6,49.3,10.8,5.36,21.5,rods
77.7,76.7,17,5.82,132,rods
135,92.2,26.2,6.57,142,networks
84.5,67.1,15,7.2,125,rods
161,135,42.4,4.82,112,networks
72.7,50.8,16.2,5.72,45.1,rods
87.9,83.9,18,6.21,174,rods
171,107,33.9,6.41,171,networks
159,98.8,32.2,6.28,27.4,networks
42.3,30.6,12.4,4.34,161,rods
62.5,57.9,11,7.22,117,rods
112,95.1,19.6,7.26,665,rods
49,55.6,13.6,4.61,176,rods
127,84.8,21.1,7.66,158,networks
93,62.6,13.9,8.49,111,rods
55.8,53.4,10.6,6.69,111,rods
47.3,41.7,11.5,5.25,48.7,rods
93,100,16.7,7.1,36.5,rods
169,139,35.9,6,10.6,networks
49,33.5,11.8,5.31,114,rods
49,50.1,9.32,6.7,25.9,rods
127,91.7,24.8,6.51,1.75,networks
145,123,17.9,10.3,29,networks
123,126,21.1,7.44,82.4,networks
65.9,74,14.2,5.9,177,rods
47.3,38.4,15.7,3.84,92.3,rods
59.2,55,11.9,6.33,107,rods
57.5,51.6,15,4.88,101,rods
86.2,49.8,19.7,5.57,118,rods
79.4,62.6,16.1,6.29,129,rods
117,85.6,23.9,6.22,125,networks
71,73.7,20.7,4.37,127,rods
167,146,19.1,11.2,21.1,networks
49,45.3,13.7,4.54,802,rods
110,63.8,25.3,5.52,154,rods
47.3,56,9.37,6.43,101,rods
43.9,43.5,11.7,4.8,7.08,rods
54.1,50.8,15.6,4.42,111,rods
60.8,53,17.4,4.46,133,rods
167,159,21.8,9.79,113,networks
135,139,26.3,6.55,8.83,networks
86.2,82.1,12.9,8.5,16.4,rods
96.3,97.7,17.5,7.03,145,rods
125,94.8,24.7,6.46,23.7,networks
54.1,35.4,11.7,5.87,124,rods
79.4,71.2,23.3,4.35,148,rods
49,54.5,13.2,4.73,162,rods
43.9,39.1,10.1,5.54,148,rods
81.1,64.5,22.5,4.59,135,rods
42.3,36.9,12.4,4.35,71.4,rods
113,73.7,24.7,5.84,139,rods
93,95.4,25.2,4.69,149,rods
50.7,36.1,11.7,5.53,34.1,rods
54.1,60.2,13.6,5.07,151,rods
64.2,56,17.7,4.62,142,rods
42.3,53.4,10.5,5.12,137,rods
82.8,88.2,11.4,9.27,180,rods
84.5,73.4,21.6,4.97,175,rods
45.6,32.5,12.1,4.82,103,rods
101,92.8,21.7,5.95,140,rods
59.2,42.7,15.5,4.86,145,rods
77.7,70.4,16.3,6.09,615,rods
59.2,40.9,13.4,5.61,150,rods
74.4,69.7,10.1,9.35,165,rods
96.3,74.1,20.9,5.87,144,rods
89.6,65.2,20.6,5.54,1.33,rods
62.5,53.1,17.2,4.62,161,rods
52.4,48.2,13,5.14,57.9,rods
64.2,41.7,12.5,6.52,52.8,rods
67.6,66.8,18.1,4.75,535,rods
96.3,78.4,24.3,5.06,151,rods
47.3,42.4,12.3,4.91,90.3,rods
130,157,17.5,9.49,34.2,networks
89.6,75.6,20.5,5.57,27.7,rods
55.8,55.6,9.49,7.48,123,rods
152,96.3,31.7,6.11,26,networks
59.2,45.8,13.9,5.43,125,rods
140,102,36,4.95,150,networks
47.3,34.3,12.3,4.9,44.6,rods
42.3,34.6,12.1,4.43,141,rods
57.5,66.3,15.6,4.68,149,rods
71,66.3,15.5,5.84,177,rods
72.7,53.4,17.1,5.42,120,rods
59.2,56.4,17.8,4.24,9.27,rods
42.3,36.9,10.2,5.3,162,rods
65.9,49.8,12.4,6.77,71.4,rods
64.2,58.2,12.6,6.47,160,rods
69.3,61.2,21.3,4.13,179,rods
72.7,60.8,17.5,5.29,14.3,rods
89.6,80.7,15.1,7.56,142,rods
60.8,54.8,12.2,6.33,158,rods
55.8,43.2,13,5.46,125,rods
67.6,57.1,15.6,5.52,173,rods
72.7,61.2,21.8,4.24,101,rods
89.6,95.4,19.8,5.76,153,rods
76.1,81.9,22.1,4.37,2.76,rods
55.8,57.1,9.38,7.57,46.1,rods
67.6,54.2,16.2,5.31,168,rods
74.4,66.6,15.1,6.26,22.3,rods
89.6,83.6,15.7,7.26,118,rods
118,83.9,30.9,4.87,13.9,networks
43.9,36.9,12.6,4.46,2.36,rods
57.5,51.9,12,6.09,82.6,rods
47.3,56.4,11.5,5.22,152,rods
55.8,46.9,13.9,5.1,108,rods
62.5,55,15.9,5.01,170,rods
45.6,48.2,14.4,4.04,154,rods
52.4,49.8,13.3,5.03,143,rods
171,133,17.2,12.7,97.1,networks
42.3,36.1,11.6,4.63,149,rods
65.9,66.3,18.9,4.44,19.2,rods
101,62.5,21.2,6.1,96.6,rods
86.2,57.1,22.8,4.82,37.3,rods
64.2,50.1,15.9,5.16,51.4,rods
45.6,36.1,9.11,6.38,128,rods
43.9,47.5,10.5,5.34,63.4,rods
52.4,86.9,13.6,4.9,16.4,rods
47.3,35.1,14.3,4.22,78.7,rods
112,84.1,20.6,6.88,36,rods
87.9,72.3,17.6,6.38,179,rods
125,83.6,30,5.3,125,networks
59.2,46.4,16.5,4.57,26.5,rods
54.1,59.3,16.7,4.12,127,rods
77.7,63.7,20.2,4.9,144,rods
69.3,58.2,15.7,5.61,153,rods
52.4,60.5,15.2,4.4,169,rods
86.2,66,12.9,8.48,6.46,rods
47.3,40.9,13.5,4.46,84.6,rods
45.6,39.8,12.9,4.52,14.9,rods
81.1,65.7,21.2,4.87,155,rods
43.9,37.2,11.2,5.01,113,rods
67.6,51.6,13.6,6.35,152,rods
47.3,47.9,12.5,4.84,140,rods
64.2,56,14.3,5.73,106,rods
77.7,66.8,16.9,5.85,36.5,rods
49,39.1,12.3,5.08,166,rods
50.7,41.3,16,4.04,175,rods
84.5,54.5,18.2,5.91,40.5,rods
137,107,25,6.96,136,networks
69.3,76.7,16.6,5.31,138,rods
45.6,33.5,12.7,4.57,34.2,rods
65.9,44.6,18,4.65,146,rods
43.9,39.1,13,4.32,172,rods
122,88.1,26.9,5.75,23.9,networks
49,40.9,13.1,4.75,133,rods
93,91.4,18.7,6.34,103,rods
42.3,34.6,11.6,4.62,34.9,rods
62.5,42.4,14.6,5.46,84.7,rods
82.8,76.6,23.5,4.48,122,rods
59.2,59.3,16.8,4.48,45.1,rods
43.9,35.4,11.7,4.78,15.4,rods
60.8,50.8,12.9,5.99,39.9,rods
49,35.4,11.2,5.56,156,rods
139,92.2,16.7,10.6,172,networks
60.8,56.4,12.3,6.3,19.5,rods
59.2,57.1,11.2,6.75,13.6,rods
132,103,31.3,5.37,87.1,networks
166,128,25.2,8.37,31.7,networks
87.9,79.6,15.2,7.34,34.9,rods
125,107,13.2,12.1,126,networks
96.3,78.1,24.4,5.02,44.2,rods
108,80.7,17.8,7.73,157,rods
62.5,45.8,12.9,6.17,165,rods
112,72.3,26,5.46,158,rods
43.9,30.2,9.36,5.98,134,rods
74.4,49,16.4,5.78,138,rods
50.7,47.9,15.3,4.23,68.6,rods
101,83.6,26.9,4.8,155,rods
54.1,50.1,12.2,5.65,126,rods
45.6,39.1,12.8,4.54,23.2,rods
64.2,57.1,10.7,7.63,51.2,rods
87.9,81.9,21.6,5.18,165,rods
45.6,29.1,9.04,6.43,57.1,rods
52.4,53.4,14.7,4.54,147,rods
64.2,50.8,13.4,6.1,5.19,rods
49,51.2,12.3,5.08,16.7,rods
99.7,91.6,19.6,6.47,44,rods
43.9,46.1,11.7,4.79,84.5,rods
105,66.8,22,6.07,91.5,rods
113,79.4,27.8,5.18,6.57,rods
45.6,34.6,11,5.29,24.4,rods
54.1,42,15.7,4.37,151,rods
45.6,38.3,10.8,5.38,32.6,rods
154,119,36.2,5.41,136,networks
71,73.7,16.6,5.43,46.3,rods
99.7,64.5,23.3,5.46,149,rods
65.9,51.9,11.7,7.16,28.7,rods
71,65.7,14.2,6.38,103,rods
43.9,38.3,13.6,4.12,21.1,rods
76.1,62.6,19,5.09,55.7,rods
45.6,38.3,10.7,5.43,91,rods
42.3,52.7,10.2,5.25,65.4,rods
67.6,53.9,16.8,5.13,89.9,rods
96.3,75.2,18.7,6.56,148,rods
55.8,54.5,16.5,4.29,171,rods
74.4,60.8,17.4,5.43,124,rods
50.7,41.7,13.8,4.66,167,rods
135,98.1,24.4,7.06,102,networks
87.9,78.6,20.7,5.4,170,rods
47.3,37.2,12.3,4.91,117,rods
45.6,49,12.2,4.74,123,rods
79.4,76.3,14.6,6.91,8.71,rods
87.9,57.4,18.8,5.97,58.5,rods
171,120,41.2,5.28,57.2,networks
108,73.7,24.5,5.63,149,rods
79.4,77.8,12.1,8.34,158,rods
103,63,20.4,6.43,137,rods
55.8,47.9,13.1,5.44,73.1,rods
106,80.8,31.2,4.34,170,rods
45.6,50.8,7.92,7.34,86.5,rods
71,44.6,18.4,4.9,125,rods
69.3,75.6,17.5,5.05,133,rods
59.2,42.1,17.4,4.32,158,rods
127,103,25.1,6.42,97.5,networks
123,89.6,25.8,6.08,16.2,networks
125,97.3,13.6,11.7,70.8,networks
71,60.8,20.6,4.38,64.2,rods
50.7,49,11.7,5.51,4.32,rods
127,108,31.2,5.17,10.6,networks
49,38.3,10.3,6.08,150,rods
105,71.1,27,4.94,132,rods
65.9,53.4,17.6,4.78,8.91,rods
43.9,36.1,10.7,5.21,9.18,rods
110,72.3,26.3,5.32,115,rods
122,92.9,26,5.97,59.5,networks
49,43.5,13.8,4.51,135,rods
98,78.1,18.9,6.62,1.87,rods
57.5,37.2,10.9,6.69,38.8,rods
123,145,14.6,10.8,16.6,networks
47.3,34.3,13.5,4.46,5.73,rods
42.3,36.5,9.37,5.74,119,rods
49,48.2,10.9,5.71,79.5,rods
60.8,46.1,13.2,5.87,161,rods
71,56.8,18.4,4.91,180,rods
96.3,91,23.9,5.13,159,rods
67.6,62.6,16.8,5.11,143,rods
54.1,58.2,14.7,4.69,172,rods
84.5,75.2,21.8,4.93,103,rods
125,85.9,29.6,5.38,159,networks
50.7,41.7,15.6,4.15,158,rods
43.9,51.2,12.4,4.5,152,rods
69.3,69.7,13.5,6.55,5.8,rods
125,142,18.4,8.64,1.12,networks
42.3,55.3,9.17,5.87,124,rods
59.2,74.4,10.5,7.17,47.6,rods
57.5,61.2,16.4,4.47,68.8,rods
171,164,27.9,7.79,1.41,networks
74.4,54.5,18.2,5.2,75.9,rods
105,92.5,27.7,4.81,154,rods
74.4,56.4,19,4.98,117,rods
91.3,84.7,23.7,4.9,144,rods
42.3,46.4,13.7,3.93,27.7,rods
43.9,44.3,8.89,6.29,96,rods
69.3,67.8,21.2,4.16,165,rods
45.6,40.9,12.7,4.57,147,rods
62.5,62.6,20.6,3.87,161,rods
60.8,42.4,15.8,4.89,168,rods
49,41.2,13.5,4.62,146,rods
74.4,70,22.9,4.14,21.2,rods
166,129,40.9,5.15,149,networks
72.7,65.7,14.9,6.2,42.4,rods
82.8,66.3,16.8,6.29,150,rods
54.1,53.4,17.2,4.01,394,rods
79.4,61.2,14.3,7.06,98.7,rods
49,47.2,12.8,4.87,89.2,rods
52.4,39.4,10.7,6.24,168,rods
42.3,26.2,9.01,5.97,58.7,rods
54.1,60.8,18.4,3.74,154,rods
127,85.5,26.4,6.1,50.5,networks
60.8,49,13.7,5.65,110,rods
59.2,37.7,15,5.01,89.8,rods
60.8,38,15,5.16,108,rods
59.2,54.2,13.7,5.51,177,rods
105,63.4,22.4,5.96,149,rods
47.3,39.1,10.8,5.58,761,rods
57.5,57.9,15.1,4.85,120,rods
89.6,66.4,22.4,5.1,100,rods
57.5,54.2,9.38,7.8,45.9,rods
50.7,32.8,10.2,6.34,98.7,rods
49,51.9,13.8,4.53,143,rods
45.6,38.3,9.92,5.86,87.1,rods
74.4,64.2,18.2,5.19,129,rods
118,83,19.6,7.68,2.78,networks
96.3,87.3,18.4,6.66,157,rods
49,38.3,12.1,5.15,60.7,rods
54.1,36.1,13.1,5.26,168,rods
130,103,24.5,6.75,172,networks
64.2,39.5,14.2,5.78,17.1,rods
43.9,30.6,13.1,4.26,164,rods
106,91.9,16.7,8.13,79.4,rods
47.3,33.2,13.5,4.47,169,rods
134,93.5,33.2,5.12,5.9,networks
50.7,38.9,17.3,3.73,180,rods
99.7,76.7,15,8.44,162,rods
64.2,42.4,15.1,5.4,55.9,rods
42.3,44.6,8.54,6.3,11.7,rods
55.8,39.1,10.8,6.59,28.5,rods
164,131,19.7,10.6,56.7,networks
54.1,65.4,14.8,4.65,119,rods
47.3,40.1,9.47,6.36,84.1,rods
71,36.1,14.1,6.42,30.8,rods
57.5,46.1,11.4,6.43,60.9,rods
43.9,38,14.3,3.9,25.1,rods
57.5,42.4,13.2,5.54,170,rods
42.3,48.7,17.4,3.08,77.2,rods
45.6,36.9,15.2,3.83,166,rods
99.7,79.6,18.3,6.92,106,rods
142,153,42.4,4.26,166,networks
45.6,40.9,13,4.46,152,rods
106,71.5,17,7.99,153,rods
49,38.4,8.84,7.06,172,rods
42.3,39.8,10.3,5.23,122,rods
105,76.4,21.9,6.09,148,rods
103,71.6,25.1,5.23,103,rods
162,105,38.7,5.34,52.6,networks
115,84.3,37.3,3.92,175,networks
43.9,42.4,13.8,4.05,50.4,rods
59.2,51,12.1,6.21,107,rods
55.8,43.5,12.9,5.49,163,rods
72.7,47.3,18.3,5.06,175,rods
47.3,36.1,12.9,4.69,48.9,rods
67.6,52.7,18.8,4.57,134,rods
72.7,58.3,13.2,7,21.1,rods
142,108,23.2,7.79,57.7,networks
112,73.8,20.7,6.85,52.8,rods
49,49.3,8.7,7.17,129,rods
105,102,26.8,4.98,51.6,rods
57.5,54.2,9,8.13,82.8,rods
79.4,57.1,16.1,6.29,175,rods
103,57.9,23.2,5.66,25,rods
59.2,45,16.3,4.61,64.6,rods
54.1,39.5,16.1,4.29,163,rods
82.8,69.4,12.3,8.6,51.4,rods
134,95.9,23.9,7.12,48.7,networks
103,76.4,30.3,4.33,113,rods
122,106,22.7,6.81,96.6,networks
120,84.6,19.1,8,48.7,networks
43.9,38,11.2,5.01,123,rods
54.1,47.9,10.2,6.75,29.6,rods
57.5,56,13.3,5.48,162,rods
55.8,52.1,15.5,4.57,6.27,rods
123,90,29.4,5.34,104,networks
105,89.9,29.7,4.5,18.5,rods
96.3,78.6,20,6.13,128,rods
69.3,51.3,11.4,7.73,139,rods
59.2,64.2,17.3,4.37,73.6,rods
49,36.6,16.6,3.76,99.3,rods
42.3,29.9,12.9,4.16,26.5,rods
67.6,43.2,17.4,4.93,65.1,rods
84.5,62.3,17.7,6.07,149,rods
81.1,60.9,11.9,8.68,103,rods
113,98,24.4,5.91,92.8,networks
71,53.4,16.2,5.57,9.74,rods
65.9,55.7,11,7.65,30.7,rods
49,39.1,10.8,5.77,8.55,rods
172,112,25.4,8.64,14.7,networks
81.1,63.4,11.2,9.22,138,rods
82.8,60.5,22.8,4.62,21.6,rods
55.8,40.3,16.5,4.3,84.3,rods
49,38,14,4.46,11.1,rods
64.2,50.5,16.7,4.89,13.6,rods
74.4,66,13.5,7.02,169,rods
93,69,18.7,6.34,4.4,rods
50.7,37.2,12.6,5.13,40.7,rods
42.3,39.5,11.2,4.79,55.5,rods
84.5,53.1,19.5,5.52,138,rods
54.1,34.3,12.7,5.44,151,rods
174,104,27.4,8.08,163,networks
54.1,41.3,10.4,6.63,30.7,rods
87.9,55.3,20,5.6,148,rods
49,40.6,17.5,3.57,173,rods
67.6,49,22.4,3.85,146,rods
43.9,36.9,13.7,4.09,161,rods
42.3,26.2,9.64,5.58,150,rods
67.6,59.7,16.9,5.08,163,rods
47.3,30.2,13.2,4.58,145,rods
69.3,53.9,14.3,6.15,152,rods
82.8,64.2,18.6,5.65,42.8,rods
122,75.6,23.3,6.65,125,rods
174,131,21.2,10.5,1.06,networks
64.2,50.5,22.6,3.63,25.6,rods
55.8,61.6,15.7,4.53,17.4,rods
96.3,71.2,24.7,4.97,120,rods
42.3,33.2,15,3.6,168,rods
52.4,42.4,11,6.07,168,rods
60.8,43.5,12.7,6.09,97,rods
54.1,39.8,10.5,6.54,117,rods
52.4,30.9,11.8,5.66,151,rods
149,116,23.9,7.91,164,networks
57.5,38.7,12,6.1,161,rods
89.6,73,13.8,8.25,110,rods
71,49.1,20.1,4.51,105,rods
49,29.9,12.9,4.84,136,rods
65.9,50.5,17.2,4.89,129,rods
49,41.3,14.3,4.36,100,rods
72.7,61.6,15.1,6.12,139,rods
115,85.9,14.2,10.3,29.4,networks
69.3,54.2,15.1,5.83,115,rods
71,50.2,18.3,4.93,21.2,rods
82.8,64.2,20,5.27,137,rods
96.3,73.5,25,4.9,177,rods
64.2,48.7,15.6,5.24,145,rods
94.6,82.1,24.3,4.96,130,rods
64.2,35.8,13.5,6.07,13.5,rods
140,76,29.9,5.97,145,rods
50.7,63.1,14.5,4.44,22.6,rods
79.4,62,22.6,4.48,110,rods
57.5,32.5,14,5.23,151,rods
42.3,39.8,12.2,4.42,40.2,rods
57.5,47.2,13,5.61,54.2,rods
55.8,39.5,13.6,5.2,171,rods
49,51.9,15,4.16,87.8,rods
99.7,70.8,17.3,7.34,1.15,rods
50.7,30.6,12,5.36,118,rods
76.1,51.9,24,4.03,142,rods
52.4,49.8,12.3,5.41,70.6,rods
54.1,56.5,23.2,2.97,73.3,rods
81.1,59.4,24.2,4.27,14.5,rods
47.3,42,13.4,4.49,142,rods
47.3,33.5,11.3,5.35,3.94,rods
43.9,32.8,11.4,4.91,163,rods
52.4,35.1,13.1,5.1,34.1,rods
50.7,50.8,9.07,7.11,127,rods
64.2,59.7,14.6,5.61,58.6,rods
59.2,50.1,10.3,7.29,120,rods
69.3,50.5,10.5,8.37,101,rods
120,88.8,33,4.63,123,networks
43.9,35.4,15.4,3.63,132,rods
49,56.4,11.3,5.54,82.2,rods
42.3,30.6,10.2,5.28,123,rods
57.5,45.3,18.7,3.91,61.8,rods
43.9,46.4,12.4,4.52,141,rods
55.8,54.5,14.8,4.8,161,rods
81.1,81.5,27.4,3.77,105,rods
49,60.5,13,4.79,162,rods
72.7,58.2,21.9,4.22,45.3,rods
76.1,71.1,23.1,4.19,150,rods
43.9,50.1,10.8,5.19,20.8,rods
105,74.1,23.4,5.7,39.1,rods
45.6,47.9,16,3.62,126,rods
54.1,63.4,11.6,5.94,112,rods
50.7,55,11,5.87,69.8,rods
47.3,58.5,11.9,5.08,94.3,rods
110,58.2,24.3,5.76,51.8,rods
47.3,54.5,11,5.47,80.3,rods
71,75.2,23.7,3.81,104,rods
69.3,70.4,19.4,4.55,89.6,rods
134,74.4,30.2,5.63,29.6,rods
47.3,50.1,12.2,4.95,44,rods
60.8,40.6,16.4,4.71,63.9,rods
54.1,53.4,17.8,3.87,77.8,rods
47.3,59.3,14,4.3,97.4,rods
42.3,51.6,12.1,4.46,53.1,rods
43.9,42,11.5,4.87,43.9,rods
57.5,47.9,13.4,5.45,117,rods
54.1,63.4,19.8,3.48,67.1,rods
117,105,28.3,5.25,163,networks
50.7,40.1,9.42,6.85,166,rods
42.3,42,13,4.13,50.8,rods
98,64.3,25.9,4.83,89.4,rods
43.9,43.2,14.4,3.89,172,rods
47.3,36.1,12.4,4.84,74.1,rods
72.7,53.1,20,4.62,165,rods
65.9,37.5,15.9,5.29,44.1,rods
59.2,54.2,16,4.7,175,rods
47.3,28.5,12.6,4.8,4.95,rods
110,84.8,14.4,9.73,74.2,rods
49,35.7,9.38,6.65,51.7,rods
132,94.3,18,9.35,139,networks
50.7,58.6,13.9,4.65,57.5,rods
137,113,23.3,7.47,85,networks
122,48.7,14.7,10.5,84.1,rods
125,85.5,23.8,6.68,45.4,networks
55.8,39.1,14.5,4.9,47.5,rods
49,47.9,15.2,4.12,40.4,rods
45.6,42,15.5,3.75,45,rods
123,74.1,13.3,11.8,125,rods
76.1,83.3,19.6,4.93,177,rods
42.3,53.4,16.6,3.23,32.3,rods
43.9,34.3,11.8,4.75,117,rods
43.9,51.6,11.4,4.91,66.3,rods
96.3,73.4,17.2,7.14,26.7,rods
57.5,51.2,14.6,5.01,30.5,rods
62.5,52.7,17.9,4.45,21.1,rods
45.6,33.5,13.3,4.35,30.2,rods
69.3,48.2,15.1,5.82,110,rods
47.3,38.3,12.8,4.69,121,rods
71,65.2,16.6,5.43,153,rods
99.7,76.3,13,9.78,70.2,rods
47.3,41,13.1,4.59,4.78,rods
71,48.2,19.6,4.61,61.2,rods
113,101,17.9,8.05,1.98,networks
72.7,56.5,15.3,6.04,28.4,rods
94.6,73.4,18.5,6.53,39,rods
49,48.7,15.1,4.13,29.4,rods
